idatracacao,cdtup,berco,portoatracacao,ano,mes,tipooperacao,tiponavegacaoatracacao,terminal,nacionalidadearmador,tesperaatracacao,tesperacainicioop,toperacao,tesperadesatracacao,tatracado,testadia,idcarga,origem,destino,cdmercadoria,naturezacarga,qtcarga,pesocargabruta,sentido,cdmercadoria_cntr,pesocarga_cntr
759569,BRARE,T1,"Areia Branca",2016,abr,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,4,0,5,5,16341385,BRSAL,BRARE,2501,"Granel Sólido",0,1641,Desembarcados,"",0
805817,BRARE,"Cais Comercial","Areia Branca",2016,dez,Apoio,"Apoio Portuário","Cais Comercial de Atracação de Barcaças",1,13,0,11,0,11,25,17710171,BRSAL,BRARE,2501,"Granel Sólido",0,1138,Desembarcados,"",0
790498,BRARE,T1,"Areia Branca",2016,set,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,4,0,4,4,17207182,BRSAL,BRARE,2501,"Granel Sólido",0,1212,Desembarcados,"",0
766752,BRARE,T1,"Areia Branca",2016,mai,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,3,0,3,3,16533792,BRSAL,BRARE,2501,"Granel Sólido",0,1441,Desembarcados,"",0
741917,BRARE,T1,"Areia Branca",2016,jan,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,17,0,10,0,10,27,15878019,BRSAL,BRARE,2501,"Granel Sólido",0,1797,Desembarcados,"",0
761094,BRARE,T1,"Areia Branca",2016,mai,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,1,7,0,8,9,16357855,BRSAL,BRARE,2501,"Granel Sólido",0,1892,Desembarcados,"",0
768803,BRARE,T1,"Areia Branca",2016,jun,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,6,0,6,0,7,13,16691184,BRSAL,BRARE,2501,"Granel Sólido",0,1554,Desembarcados,"",0
775660,BRARE,T1,"Areia Branca",2016,jul,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,45,0,5,0,6,51,16776622,BRSAL,BRARE,2501,"Granel Sólido",0,1031,Desembarcados,"",0
760948,BRARE,T1,"Areia Branca",2016,mai,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,2,0,7,0,7,10,16353548,BRSAL,BRARE,2501,"Granel Sólido",0,1691,Desembarcados,"",0
741138,BRARE,T1,"Areia Branca",2016,jan,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,11,0,5,0,6,17,15878013,BRSAL,BRARE,2501,"Granel Sólido",0,1944,Desembarcados,"",0
777827,BRARE,T1,"Areia Branca",2016,jul,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,7,0,7,8,16841718,BRSAL,BRARE,2501,"Granel Sólido",0,1768,Desembarcados,"",0
800676,BRARE,T1,"Areia Branca",2016,nov,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,2,0,3,0,3,6,17551663,BRSAL,BRARE,2501,"Granel Sólido",0,1157,Desembarcados,"",0
792006,BRARE,T1,"Areia Branca",2016,out,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,37,0,6,0,6,44,17275475,BRSAL,BRARE,2501,"Granel Sólido",0,963,Desembarcados,"",0
778025,BRARE,T1,"Areia Branca",2016,jul,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,0,5,0,6,6,16843506,BRSAL,BRARE,2501,"Granel Sólido",0,1303,Desembarcados,"",0
790856,BRARE,T1,"Areia Branca",2016,set,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,2,0,5,0,5,8,17210211,BRSAL,BRARE,2501,"Granel Sólido",0,1530,Desembarcados,"",0
766314,BRARE,T1,"Areia Branca",2016,mai,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,47,0,8,0,8,55,16527034,BRSAL,BRARE,2501,"Granel Sólido",0,1564,Desembarcados,"",0
765814,BRARE,T1,"Areia Branca",2016,mai,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,77,0,3,0,3,81,16526540,BRSAL,BRARE,2501,"Granel Sólido",0,1027,Desembarcados,"",0
766739,BRARE,T1,"Areia Branca",2016,mai,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,1,0,6,0,6,7,16533779,BRSAL,BRARE,2501,"Granel Sólido",0,1039,Desembarcados,"",0
806009,BRARE,"Cais Comercial","Areia Branca",2016,dez,Apoio,"Apoio Portuário","Cais Comercial de Atracação de Barcaças",1,3,0,4,0,5,8,17712854,BRSAL,BRARE,2501,"Granel Sólido",0,1266,Desembarcados,"",0
776218,BRARE,T1,"Areia Branca",2016,jul,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,31,0,6,3,9,41,16781106,BRSAL,BRARE,2501,"Granel Sólido",0,1104,Desembarcados,"",0
748583,BRARE,T1,"Areia Branca",2016,mar,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,1,0,4,0,4,5,16053029,BRSAL,BRARE,2501,"Granel Sólido",0,1259,Desembarcados,"",0
777936,BRARE,T1,"Areia Branca",2016,jul,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,8,0,5,0,5,14,16843347,BRSAL,BRARE,2501,"Granel Sólido",0,1548,Desembarcados,"",0
786307,BRARE,T1,"Areia Branca",2016,set,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,0,2,5,0,8,8,17109642,BRSAL,BRARE,2501,"Granel Sólido",0,1124,Desembarcados,"",0
777853,BRARE,T1,"Areia Branca",2016,jul,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,15,1,6,0,8,23,16842424,BRSAL,BRARE,2501,"Granel Sólido",0,1719,Desembarcados,"",0
798691,BRARE,T1,"Areia Branca",2016,nov,Apoio,"Apoio Portuário","Cais de Uso da CODERN",1,3,0,6,0,6,9,17552186,BRSAL,BRARE,2501,"Granel Sólido",0,1769,Desembarcados,"",0
